"player_name","event_name","heat_name","player_number","player_score","mu","sd"
"Adrian Buchan","2018/mct/2747/corona-open-j-bay","round_470_heat_2",2,15.3,12.23,3.56
"Adrian Buchan","2013/mct/573/billabong-pro-teahupoo","round_46_heat_2",2,19.17,12.23,3.56
"Adrian Buchan","2013/mct/519/quiksilver-pro-gold-coast","round_2_heat_8",2,12.6,12.23,3.56
"Adrian Buchan","2018/mct/2714/corona-bali-protected","round_456_heat_4",2,11.4,12.23,3.56
"Adrian Buchan","2018/mct/2647/quiksilver-pro-gold-coast","round_433_heat_8",3,10.3,12.23,3.56
"Adrian Buchan","2021/mct/3860/rip-curl-narrabeen-classic-presented-by-corona","round_16_heat_4",3,5.2,12.23,3.56
"Adrian Buchan","2017/mct/1935/hurley-pro-at-trestles","round_401_heat_7",3,9.3,12.23,3.56
"Adrian Buchan","2014/mct/713/quiksilver-pro-france","round_147_heat_5",2,10.77,12.23,3.56
"Adrian Buchan","2017/mct/1809/drug-aware-margaret-river-pro","round_354_heat_9",2,16.5,12.23,3.56
"Adrian Buchan","2019/mct/2924/meo-rip-curl-pro-portugal","round_563_heat_10",3,8.77,12.23,3.56
"Adrian Buchan","2019/mct/2917/corona-open-j-bay","round_544_heat_8",2,14.74,12.23,3.56
"Adrian Buchan","2014/mct/708/hurley-pro-at-trestles","round_137_heat_1",3,13.1,12.23,3.56
"Adrian Buchan","2019/mct/2908/quiksilver-pro-gold-coast","round_507_heat_7",3,10.13,12.23,3.56
"Adrian Buchan","2015/mct/1281/hurley-pro-at-trestles","round_228_heat_3",3,16.36,12.23,3.56
"Adrian Buchan","2015/mct/1267/billabong-pro-tahiti","round_218_heat_11",2,16.4,12.23,3.56
"Adrian Buchan","2017/mct/1809/drug-aware-margaret-river-pro","round_353_heat_9",3,6.24,12.23,3.56
"Adrian Buchan","2014/mct/708/hurley-pro-at-trestles","round_139_heat_2",2,16.3,12.23,3.56
"Adrian Buchan","2018/mct/2671/rip-curl-pro-bells-beach","round_442_heat_11",2,11.73,12.23,3.56
"Adrian Buchan","2015/mct/1236/fiji-pro","round_203_heat_9",2,9.44,12.23,3.56
"Adrian Buchan","2017/mct/1867/outerknown-fiji-pro","round_378_heat_4",2,11.87,12.23,3.56
"Adrian Buchan","2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_5",2,17.47,12.23,3.56
"Adrian Buchan","2014/mct/649/drug-aware-margaret-river-pro","round_90_heat_9",2,13.1,12.23,3.56
"Adrian Buchan","2013/mct/535/billabong-rio-pro","round_22_heat_2",2,14.93,12.23,3.56
"Adrian Buchan","2016/mct/1522/meo-rip-curl-pro-portugal","round_330_heat_6",2,11.34,12.23,3.56
"Adrian Buchan","2019/mct/2924/meo-rip-curl-pro-portugal","round_565_heat_2",2,7.54,12.23,3.56
"Adrian Buchan","2016/mct/1399/quiksilver-pro-gold-coast","round_259_heat_8",2,15.43,12.23,3.56
